,blue_team,red_team,result
3665,Gen.G,DAMWON Gaming,1
3666,Team AURORA Academy,SuperMassive Academy,0
3667,Royal Youth Academy,Galatasaray Academy,0
3668,optical spectrum E-sports,LinGan e-Sports,0
3669,1907 Fenerbahçe Academy,Galakticos Academy,0
3670,İstanbul Wildcats Academy,Beşiktaş Academy,1
3671,5 Ronin Academy,Dark Passage Academy,0
3672,Evil Geniuses Academy,Dignitas Academy,1
3673,Team Liquid Academy,Cloud9 Academy,0
3674,Immortals Academy,Golden Guardians Academy,1
3675,100 Thieves Academy,TSM Academy,0
3676,FlyQuest Academy,CLG Academy,0
3677,hyFresh Blade,RunAway,0
3678,eStar Young,Oh My Dream,1
3679,RunAway,hyFresh Blade,0
3680,Pentanet.GG,Avant Gaming,1
3681,Oh My Dream,eStar Young,1
3682,Afreeca Freecs,T1,1
3683,hyFresh Blade,RunAway,1
3684,Dire Wolves,ORDER,1
3685,Royal Club,WanZhen Esports Club,1
3686,eStar Young,Oh My Dream,1
3687,OZ Gaming,Awesome Spear,0
3688,Gravitas,MAMMOTH,0
3689,Royal Club,WanZhen Esports Club,0
3690,T1,Afreeca Freecs,1
3691,Chiefs Esports Club,Legacy Esports,0
3692,Rogue Warriors,Team WE,0
3693,Awesome Spear,OZ Gaming,0
3694,WanZhen Esports Club,Royal Club,0
3695,Afreeca Freecs,T1,0
3696,OverPower Esports,GAM Esports,0
3697,Top Esports Challenger,Rogue Warriors Shark,1
3698,Team WE,Rogue Warriors,1
3699,OZ Gaming,Awesome Spear,1
3700,Vici Gaming Potential,Dominus Esports Young,0
3701,Hanwha Life Esports,Team Dynamics,0
3702,GAM Esports,OverPower Esports,0
3703,Top Esports Challenger,Rogue Warriors Shark,0
3704,Top Esports,EDward Gaming,0
3705,Dominus Esports Young,Vici Gaming Potential,0
3706,OverPower Esports,GAM Esports,0
3707,Top Esports Challenger,Rogue Warriors Shark,0
3708,EDward Gaming,Top Esports,0
3709,Team Dynamics,Hanwha Life Esports,1
3710,Dominus Esports Young,Vici Gaming Potential,1
3711,Percent Esports,Saigon Buffalo,0
3712,Top Esports,EDward Gaming,1
3713,optical spectrum E-sports,LinGan e-Sports,1
3714,Galatasaray Academy,İstanbul Wildcats Academy,0
3715,Saigon Buffalo,Percent Esports,1
3716,optical spectrum E-sports,LinGan e-Sports,0
3717,Beşiktaş Academy,SuperMassive Academy,0
3718,Excel Esports,FC Schalke 04 Esports,1
3719,5 Ronin Academy,Team AURORA Academy,0
3720,Team Vitality,Misfits Gaming,0
3721,1907 Fenerbahçe Academy,Royal Youth Academy,0
3722,G2 Esports,SK Gaming,0
3723,Galakticos Academy,Dark Passage Academy,0
3724,CLG Academy,100 Thieves Academy,0
3725,Dignitas Academy,Team Liquid Academy,1
3726,MAD Lions,Origen,1
3727,Fnatic,Rogue,0
3728,Cloud9 Academy,Immortals Academy,1
3729,Golden Guardians Academy,FlyQuest Academy,1
3730,TSM Academy,Evil Geniuses Academy,1
3731,FlyQuest,Counter Logic Gaming,1
3732,Team Liquid,Cloud9,0
3733,Bilibili Gaming Junior,FunPlus Phoenix Blaze,0
3734,Chiefs Esports Club,Pentanet.GG,0
3735,Bilibili Gaming Junior,FunPlus Phoenix Blaze,0
3736,SeolHaeOne Prince,Gen.G,0
3737,Avant Gaming,MAMMOTH,1
3738,Young Miracles,EDG Youth Team,1
3739,LNG Academy,Shu Dai Xiong Gaming,0
3740,Gravitas,ORDER,0
3741,Young Miracles,EDG Youth Team,1
3742,Dire Wolves,Legacy Esports,0
3743,Shu Dai Xiong Gaming,LNG Academy,1
3744,Gen.G,SeolHaeOne Prince,1
3745,Hong Kong Attitude,Resurgence,1
3746,Suning-S,Joy Dream,1
3747,Suning,Dominus Esports,1
3748,JingNetGame,LGD Gaming Young Team,0
3749,Berjaya Dragons,Liyab Esports,1
3750,GAM Esports,Percent Esports,0
3751,Dominus Esports,Suning,1
3752,Joy Dream,Suning-S,1
3753,Team AURORA,SuperMassive Esports,0
3754,DAMWON Gaming,KT Rolster,1
3755,LGD Gaming Young Team,JingNetGame,1
3756,Percent Esports,GAM Esports,1
3757,Hong Kong Attitude,PSG Talon,1
3758,Suning,Dominus Esports,1
3759,Suning-S,Joy Dream,0
3760,Galatasaray Esports,Royal Youth,1
3761,KT Rolster,DAMWON Gaming,0
3762,eStar,FunPlus Phoenix,0
3763,Machi Esports,J Team,0
3764,Team Secret,OverPower Esports,1
3765,Gambit Esports,Elements Pro Gaming,1
3766,Galakticos,1907 Fenerbahçe Esports,1
3767,OverPower Esports,Team Secret,0
3768,FunPlus Phoenix,eStar,1
3769,ahq eSports Club,Alpha Esports,1
3770,Beşiktaş Esports,İstanbul Wildcats,0
3771,CrowCrowd,Vega Squadron,1
3772,SK Gaming,Team Vitality,0
3773,5 Ronin,Dark Passage,0
3774,Nova Esports,J Team,0
3775,Dragon Army,Unicorns Of Love.CIS,0
3776,paiN Gaming,Prodigy Esports,1
3777,Excel Esports,Misfits Gaming,0
3778,One Breath Gaming,RoX,1
3779,Origen,FC Schalke 04 Esports,1
3780,INTZ,KaBuM! e-Sports,1
3781,MAD Lions,Rogue,1
3782,Flamengo Esports,Santos e-Sports,1
3783,G2 Esports,Fnatic,1
3784,FURIA Esports,Vivo Keyd,1
3785,Azules Esports,Infinity Esports,1
3786,Counter Logic Gaming,100 Thieves,1
3787,Furious Gaming,Isurus,1
3788,TSM,Evil Geniuses,1
3789,Rainbow7,XTEN Esports,1
3790,Dignitas,Team Liquid,0
3791,Pixel Esports Club,All Knights,0
3792,Immortals,Golden Guardians,1
3793,Fukuoka SoftBank Hawks gaming,Burning Core,1
3794,eStar Young,Team WE Academy,0
3795,Fukuoka SoftBank Hawks gaming,V3 Esports,0
3796,eStar Young,Team WE Academy,1
3797,DetonatioN FocusMe,V3 Esports,0
3798,eStar Young,Team WE Academy,1
3799,Dominus Esports Young,Legend Esport Gaming,1
3800,Afreeca Freecs,DRX,0
3801,All Combo,Royal Club,1
3802,Legend Esport Gaming,Dominus Esports Young,0
3803,Burning Core,DetonatioN FocusMe,0
3804,Berjaya Dragons,Hong Kong Attitude,0
3805,DRX,Afreeca Freecs,1
3806,All Combo,Royal Club,0
3807,AXIZ,Sengoku Gaming,0
3808,Vici Gaming Potential,WanZhen Esports Club,1
3809,LNG Esports,Vici Gaming,1
3810,Team Flash,Saigon Buffalo,1
3811,SANDBOX Gaming,T1,0
3812,Liyab Esports,Machi Esports,0
3813,All Combo,Royal Club,1
3814,Vici Gaming,LNG Esports,1
3815,Vici Gaming Potential,WanZhen Esports Club,1
3816,AXIZ,Rascal Jester,0
3817,Galatasaray Esports,İstanbul Wildcats,0
3818,Resurgence,J Team,0
3819,Saigon Buffalo,Team Flash,0
3820,LNG Esports,Vici Gaming,0
3821,Invictus Gaming Young,Oh My Dream,1
3822,SuperMassive Esports,Beşiktaş Esports,1
3823,Crest Gaming Act,Rascal Jester,1
3824,T1,SANDBOX Gaming,1
3825,ahq eSports Club,Liyab Esports,0
3826,CERBERUS Esports,EVOS Esports,1
3827,Rogue Warriors,JD Gaming,0
3828,Invictus Gaming Young,Oh My Dream,1
3829,5 Ronin,Team AURORA,0
3830,Rogue Warriors,JD Gaming,1
3831,CrowCrowd,Elements Pro Gaming,1
3832,EVOS Esports,CERBERUS Esports,0
3833,Sengoku Gaming,Crest Gaming Act,0
3834,Alpha Esports,PSG Talon,0
3835,1907 Fenerbahçe Esports,Royal Youth,1
3836,JD Gaming,Rogue Warriors,1
3837,Gambit Esports,Vega Squadron,1
3838,Galakticos,Dark Passage,1
3839,ahq eSports Club,Nova Esports,1
3840,Unicorns Of Love.CIS,One Breath Gaming,1
3841,Flamengo Esports,paiN Gaming,0
3842,Dragon Army,RoX,1
3843,Barrage Esports Academy,London Esports,1
3844,Vivo Keyd,Santos e-Sports,0
3845,Enclave Gaming,NVision Esports,0
3846,INTZ,FURIA Esports,1
3847,MnM Gaming Academy,Demise,1
3848,KaBuM! e-Sports,Prodigy Esports,1
3849,Furious Gaming,All Knights,1
3850,100 Thieves,TSM,0
3851,Pixel Esports Club,Rainbow7,0
3852,Munster Rugby Gaming Academy,Bulldog Esports,1
3853,Cloud9,Immortals,1
3854,Infinity Esports,XTEN Esports,1
3855,Golden Guardians,FlyQuest,1
3856,Isurus,Azules Esports,1
3857,XTGN,World Class Empyreans,1
3858,FrostFire,Life Support,1
3859,Supernova,XT Esports,1
3860,Dark Matter,Mirage Sport Électronique,1
3861,Polar Ace,Wildcard Gaming,1
3862,Evil Geniuses,Dignitas,1
3863,Maryville University,Dark Allegiance,0
3864,World Class Empyreans,XTGN,1
3865,Wildcard Gaming,Polar Ace,1
3866,Mirage Sport Électronique,Dark Matter,1
3867,Life Support,FrostFire,1
3868,XT Esports,Supernova,1
3869,Dark Allegiance,Maryville University,0
3870,XTGN,World Class Empyreans,1
3871,Polar Ace,Wildcard Gaming,0
3872,FrostFire,Life Support,0
3873,Maryville University,Dark Allegiance,1
3874,Dark Matter,Mirage Sport Électronique,0
3875,Supernova,XT Esports,1
3876,Top Esports Challenger,EDG Youth Team,1
3877,EDG Youth Team,Top Esports Challenger,0
3878,V5 87,Bilibili Gaming Junior,0
3879,JingNetGame,LinGan e-Sports,0
3880,Jin Air Green Wings,Element Mystic,1
3881,JingNetGame,LinGan e-Sports,1
3882,V5 87,Bilibili Gaming Junior,1
3883,Element Mystic,Jin Air Green Wings,1
3884,JingNetGame,LinGan e-Sports,1
3885,V5 87,Bilibili Gaming Junior,1
3886,Dominus Esports,EDward Gaming,1
3887,Jin Air Green Wings,Element Mystic,1
3888,Joy Dream,Rogue Warriors Shark,0
3889,LGD Gaming Young Team,LNG Academy,1
3890,EDward Gaming,Dominus Esports,0
3891,OZ Gaming,Griffin,0
3892,Rogue Warriors Shark,LNG Academy,1
3893,LGD Gaming Young Team,Joy Dream,0
3894,FunPlus Phoenix,Victory Five,0
3895,Griffin,OZ Gaming,1
3896,Rogue Warriors Shark,LNG Academy,1
3897,Victory Five,FunPlus Phoenix,0
3898,Joy Dream,LGD Gaming Young Team,1
3899,FunPlus Phoenix,Victory Five,1
3900,Demise,Enclave Gaming,0
3901,London Esports,MnM Gaming Academy,1
3902,Bulldog Esports,Barrage Esports Academy,0
3903,NVision Esports,Munster Rugby Gaming Academy,0
3904,RED Canids,Rensga eSports,1
3905,Falkol,Havan Liberty Gaming,0
3906,Team oNe eSports,Redemption eSports Porto Alegre,0
3907,LNG Esports,Bilibili Gaming,0
3908,Bilibili Gaming,LNG Esports,1
3909,Royal Never Give Up,Team WE,1
3910,Team WE,Royal Never Give Up,1
3911,Royal Never Give Up,Team WE,0
3912,AGO ROGUE,7more7,1
3913,PRIDE,Gentlemen's Gaming,0
3914,Komputronik H34T,K1ck Neosurf,1
3915,Dusty,Fnatic Rising,0
3916,Illuminar Gaming,piratesports,1
3917,Barrage Esports,Munster Rugby Gaming,0
3918,Riddle Esports,Nordavind,0
3919,BT Excel,Team Singularity,1
3920,FrostFire,Dark Matter,1
3921,unknown team,Polar Ace,1
3922,Falkol,RED Canids,0
3923,100 Thieves Next,Radiance,1
3924,Life Support,XT Esports,1
3925,World Class Empyreans,Simplicity Esports,0
3926,Supernova,Mirage Sport Électronique,1
3927,Polar Ace,unknown team,0
3928,Simplicity Esports,World Class Empyreans,1
3929,Havan Liberty Gaming,Redemption eSports Porto Alegre,0
3930,Radiance,100 Thieves Next,0
3931,XT Esports,Life Support,0
3932,Mirage Sport Électronique,Supernova,1
3933,ANEW Esports,Maryville University,1
3934,Rensga eSports,Team oNe eSports,0
3935,Supernova,Mirage Sport Électronique,0
3936,Royal Club,eStar Young,0
3937,Royal Club,eStar Young,0
3938,T1,DAMWON Gaming,0
3939,All Combo,Oh My Dream,1
3940,Bilibili Gaming Junior,Dominus Esports Young,0
3941,Oh My Dream,All Combo,1
3942,Dominus Esports Young,Bilibili Gaming Junior,1
3943,All Combo,Oh My Dream,1
3944,DAMWON Gaming,T1,1
3945,LNG Academy,Dominus Esports,0
3946,Invictus Gaming Young,Invictus Gaming,1
3947,Gen.G,SANDBOX Gaming,1
3948,Invictus Gaming,Dominus Esports,1
3949,Top Esports Challenger,WanZhen Esports Club,1
3950,Invictus Gaming Young,LNG Academy,1
3951,Dominus Esports,Invictus Gaming,0
3952,Top Esports Challenger,WanZhen Esports Club,1
3953,SANDBOX Gaming,Gen.G,0
3954,Suning,LGD Gaming,1
3955,LGD Gaming,Suning,0
3956,Illuminar Gaming,7more7,1
3957,piratesports,Gentlemen's Gaming,0
3958,ENCE,Godsent,1
3959,AGO ROGUE,Komputronik H34T,0
3960,Munster Rugby Gaming,Dusty,1
3961,PRIDE,K1ck Neosurf,0
3962,Fnatic Rising,Tricked Esport,1
3963,MnM Gaming,Barrage Esports,0
3964,Team Fish Taco,Life Support,1
3965,Mirage Sport Électronique,Polar Ace,1
3966,unknown team,Wildcard Gaming,0
3967,Polar Ace,Mirage Sport Électronique,1
3968,Life Support,Team Fish Taco,1
3969,Wildcard Gaming,unknown team,1
3970,hyFresh Blade,Element Mystic,0
3971,Joy Dream,Young Miracles,1
3972,Element Mystic,hyFresh Blade,1
3973,Young Miracles,Joy Dream,0
3974,QUT Tigers,UQ Union,1
3975,Hanwha Life Esports,Afreeca Freecs,0
3976,Shu Dai Xiong Gaming,JingNetGame,1
3977,ESC Shane,Jin Air Green Wings,0
3978,Suning-S,V5 87,1
3979,JingNetGame,Shu Dai Xiong Gaming,0
3980,Suning-S,V5 87,1
3981,ORDER Academy,Legacy Genesis,0
3982,Jin Air Green Wings,ESC Shane,1
3983,Afreeca Freecs,Hanwha Life Esports,1
3984,Pentanet.GG Rise,Chiefs Academy,1
3985,Rogue Warriors Shark,LGD Gaming Young Team,0
3986,Oh My God,Rogue Warriors,1
3987,optical spectrum E-sports,Vici Gaming Potential,0
3988,DRX,Team Dynamics,1
3989,UTS Esports,RMIT Redbacks,1
3990,LGD Gaming Young Team,Rogue Warriors Shark,0
3991,Rogue Warriors,Oh My God,1
3992,optical spectrum E-sports,Vici Gaming Potential,0
3993,Mammoth Academy,Dire Cubs,0
3994,Rogue Warriors Shark,LGD Gaming Young Team,1
3995,Rogue Warriors,Oh My God,0
3996,Team Dynamics,DRX,0
3997,Team WE,JD Gaming,1
3998,JD Gaming,Team WE,1
3999,SuperMassive Academy,Galatasaray Academy,0
4000,Team WE,JD Gaming,0
4001,Beşiktaş Academy,5 Ronin Academy,0
4002,Dark Passage Academy,1907 Fenerbahçe Academy,1
4003,Galakticos Academy,Team AURORA Academy,1
4004,İstanbul Wildcats Academy,Royal Youth Academy,1
4005,Dignitas Academy,100 Thieves Academy,1
4006,Golden Guardians Academy,TSM Academy,0
4007,Cloud9 Academy,CLG Academy,1
4008,Team Liquid Academy,Immortals Academy,0
4009,Evil Geniuses Academy,FlyQuest Academy,1
4010,RunAway,OZ Gaming,0
4011,Legend Esport Gaming,LinGan e-Sports,1
4012,ORDER,Legacy Esports,1
4013,OZ Gaming,RunAway,1
4014,KT Rolster,SeolHaeOne Prince,1
4015,Legend Esport Gaming,LinGan e-Sports,0
4016,Legend Esport Gaming,LinGan e-Sports,1
4017,Chiefs Esports Club,Gravitas,1
4018,Royal Club,Victorious Gaming,1
4019,Awesome Spear,Griffin,1
4020,FunPlus Phoenix Blaze,Oh My Dream,1
4021,MAMMOTH,Pentanet.GG,0
4022,Victorious Gaming,Royal Club,0
4023,Griffin,Awesome Spear,0
4024,SeolHaeOne Prince,KT Rolster,0
4025,Dire Wolves,Avant Gaming,1
4026,Oh My Dream,FunPlus Phoenix Blaze,0
4027,Top Esports,LNG Esports,1
4028,Dominus Esports Young,Team WE Academy,1
4029,Gen.G,T1,0
4030,OverPower Esports,CERBERUS Esports,0
4031,LNG Esports,Top Esports,0
4032,LNG Academy,EDG Youth Team,0
4033,Team WE Academy,Dominus Esports Young,1
4034,CERBERUS Esports,OverPower Esports,1
4035,Dominus Esports Young,Team WE Academy,1
4036,Vici Gaming,eStar,0
4037,LNG Academy,EDG Youth Team,0
4038,T1,Gen.G,1
4039,Saigon Buffalo,GAM Esports,0
4040,eStar,Vici Gaming,0
4041,Vici Gaming,eStar,1
4042,GAM Esports,Saigon Buffalo,0
4043,Dark Passage Academy,Team AURORA Academy,1
4044,Saigon Buffalo,GAM Esports,0
4045,Galatasaray Academy,5 Ronin Academy,1
4046,Excel Esports,Team Vitality,1
4047,Royal Youth Academy,SuperMassive Academy,1
4048,FC Schalke 04 Esports,MAD Lions,0
4049,Galakticos Academy,Beşiktaş Academy,0
4050,1907 Fenerbahçe Academy,İstanbul Wildcats Academy,0
4051,TSM Academy,CLG Academy,1
4052,Immortals Academy,Evil Geniuses Academy,1
4053,Fnatic,SK Gaming,1
4054,Rogue,Origen,1
4055,Cloud9 Academy,Dignitas Academy,1
4056,FlyQuest Academy,Team Liquid Academy,1
4057,100 Thieves Academy,Golden Guardians Academy,0
4058,G2 Esports,Misfits Gaming,1
4059,100 Thieves,Golden Guardians,0
4060,Counter Logic Gaming,Cloud9,0
4061,Fukuoka SoftBank Hawks gaming,Rascal Jester,0
4062,V3 Esports,Rascal Jester,1
4063,Joy Dream,All Combo,1
4064,Avant Gaming,Chiefs Esports Club,0
4065,All Combo,Joy Dream,0
4066,Fukuoka SoftBank Hawks gaming,AXIZ,1
4067,DAMWON Gaming,Hanwha Life Esports,1
4068,Legacy Esports,Gravitas,1
4069,WanZhen Esports Club,V5 87,0
4070,AXIZ,V3 Esports,0
4071,Young Miracles,Vici Gaming Potential,1
4072,Dire Wolves,MAMMOTH,1
4073,WanZhen Esports Club,V5 87,0
4074,Young Miracles,Vici Gaming Potential,1
4075,Burning Core,Crest Gaming Act,1
4076,Hanwha Life Esports,DAMWON Gaming,0
4077,ORDER,Pentanet.GG,1
4078,Nova Esports,Liyab Esports,1
4079,eStar Young,Suning-S,1
4080,Shu Dai Xiong Gaming,Invictus Gaming Young,0
4081,Rogue Warriors,EDward Gaming,0
4082,Team Dynamics,SANDBOX Gaming,0
4083,Percent Esports,Team Secret,1
4084,Burning Core,Sengoku Gaming,0
4085,Alpha Esports,Machi Esports,0
4086,Suning-S,eStar Young,0
4087,Invictus Gaming Young,Shu Dai Xiong Gaming,1
4088,Rogue Warriors,EDward Gaming,0
4089,Galatasaray Esports,SuperMassive Esports,0
4090,Team Secret,Percent Esports,1
4091,Crest Gaming Act,DetonatioN FocusMe,1
4092,Nova Esports,Hong Kong Attitude,1
4093,Invictus Gaming,JD Gaming,0
4094,Percent Esports,Team Secret,0
4095,5 Ronin,Beşiktaş Esports,1
4096,SANDBOX Gaming,Team Dynamics,0
4097,DetonatioN FocusMe,Sengoku Gaming,0
4098,Berjaya Dragons,Alpha Esports,1
4099,Invictus Gaming,JD Gaming,0
4100,CrowCrowd,Dragon Army,1
4101,EVOS Esports,Team Flash,1
4102,Team Dynamics,SANDBOX Gaming,0
4103,1907 Fenerbahçe Esports,Dark Passage,1
4104,ahq eSports Club,Resurgence,1
4105,Galakticos,Team AURORA,1
4106,Elements Pro Gaming,One Breath Gaming,0
4107,Team Flash,EVOS Esports,1
4108,Rogue,SK Gaming,1
4109,J Team,PSG Talon,0
4110,İstanbul Wildcats,Royal Youth,1
4111,Unicorns Of Love.CIS,Gambit Esports,1
4112,EVOS Esports,Team Flash,0
4113,Team Vitality,Origen,1
4114,KaBuM! e-Sports,Vivo Keyd,1
4115,RoX,Vega Squadron,1
4116,Fnatic,FC Schalke 04 Esports,0
4117,paiN Gaming,Santos e-Sports,1
4118,G2 Esports,Excel Esports,0
4119,INTZ,Flamengo Esports,1
4120,Misfits Gaming,MAD Lions,1
4121,All Knights,Azules Esports,1
4122,Prodigy Esports,FURIA Esports,1
4123,TSM,Golden Guardians,1
4124,XTEN Esports,Isurus,0
4125,Dignitas,100 Thieves,0
4126,Pixel Esports Club,Furious Gaming,0
4127,Evil Geniuses,FlyQuest,0
4128,Rainbow7,Infinity Esports,1
4129,Team Liquid,Immortals,1
4130,FunPlus Phoenix Blaze,Top Esports Challenger,1
4131,SeolHaeOne Prince,DRX,0
4132,FunPlus Phoenix Blaze,Top Esports Challenger,1
4133,Legend Esport Gaming,Oh My Dream,0
4134,Royal Club,optical spectrum E-sports,1
4135,Oh My Dream,Legend Esport Gaming,1
4136,optical spectrum E-sports,Royal Club,1
4137,DRX,SeolHaeOne Prince,1
4138,Alpha Esports,Resurgence,1
4139,Royal Club,optical spectrum E-sports,0
4140,Rogue Warriors Shark,Team WE Academy,0
4141,eStar,Victory Five,0
4142,KT Rolster,Afreeca Freecs,0
4143,EVOS Esports,OverPower Esports,1
4144,Team WE Academy,Rogue Warriors Shark,1
4145,Victory Five,eStar,1
4146,Victorious Gaming,Dominus Esports Young,0
4147,PSG Talon,Berjaya Dragons,1
4148,Dark Passage,Team AURORA,1
4149,OverPower Esports,EVOS Esports,0
4150,Hong Kong Attitude,J Team,0
4151,Royal Never Give Up,FunPlus Phoenix,1
4152,Dominus Esports Young,Victorious Gaming,1
4153,Galatasaray Esports,5 Ronin,0
4154,Afreeca Freecs,KT Rolster,1
4155,FunPlus Phoenix,Royal Never Give Up,1
4156,One Breath Gaming,Gambit Esports,0
4157,Team Secret,Saigon Buffalo,1
4158,Machi Esports,Nova Esports,1
4159,Royal Youth,SuperMassive Esports,0
4160,Royal Never Give Up,FunPlus Phoenix,0
4161,Saigon Buffalo,Team Secret,0
4162,J Team,Liyab Esports,1
4163,Beşiktaş Esports,Galakticos,0
4164,RoX,CrowCrowd,0
4165,Machi Esports,ahq eSports Club,0
4166,Unicorns Of Love.CIS,Elements Pro Gaming,1
4167,1907 Fenerbahçe Esports,İstanbul Wildcats,0
4168,Vega Squadron,Dragon Army,0
4169,Santos e-Sports,KaBuM! e-Sports,1
4170,Munster Rugby Gaming Academy,Demise,1
4171,FURIA Esports,Flamengo Esports,1
4172,NVision Esports,Bulldog Esports,1
4173,Prodigy Esports,Vivo Keyd,1
4174,Enclave Gaming,London Esports,1
4175,paiN Gaming,INTZ,1
4176,Furious Gaming,Rainbow7,1
4177,Cloud9,Dignitas,1
4178,MnM Gaming Academy,Barrage Esports Academy,1
4179,All Knights,XTEN Esports,1
4180,FlyQuest,Team Liquid,0
4181,Azules Esports,Pixel Esports Club,0
4182,TSM,Counter Logic Gaming,1
4183,Isurus,Infinity Esports,0
4184,Life Support,Supernova,1
4185,Immortals,Evil Geniuses,0
4186,Mirage Sport Électronique,Radiance,1
4187,Supernova,Life Support,1
4188,Life Support,Supernova,1
4189,Radiance,Mirage Sport Électronique,0
4190,JingNetGame,EDG Youth Team,1
4191,JingNetGame,EDG Youth Team,1
4192,All Combo,LGD Gaming Young Team,1
4193,Invictus Gaming Young,WanZhen Esports Club,1
4194,ESC Shane,Griffin,1
4195,LGD Gaming Young Team,All Combo,1
4196,WanZhen Esports Club,Invictus Gaming Young,0
4197,Griffin,ESC Shane,1
4198,All Combo,LGD Gaming Young Team,1
4199,Team WE,Dominus Esports,1
4200,LNG Academy,Bilibili Gaming Junior,0
4201,ESC Shane,Griffin,1
4202,Vici Gaming Potential,Joy Dream,1
4203,Dominus Esports,Team WE,1
4204,LNG Academy,Bilibili Gaming Junior,0
4205,Awesome Spear,hyFresh Blade,1
4206,Joy Dream,Vici Gaming Potential,1
4207,Team WE,Dominus Esports,1
4208,Joy Dream,Vici Gaming Potential,1
4209,hyFresh Blade,Awesome Spear,0
4210,JD Gaming,EDward Gaming,1
4211,JD Gaming,EDward Gaming,1
4212,Bulldog Esports,MnM Gaming Academy,0
4213,Enclave Gaming,Barrage Esports Academy,1
4214,Munster Rugby Gaming Academy,London Esports,0
4215,NVision Esports,Demise,1
4216,Team oNe eSports,Falkol,0
4217,Redemption eSports Porto Alegre,Rensga eSports,0
4218,RED Canids,Havan Liberty Gaming,1
4219,Vici Gaming,Rogue Warriors,0
4220,Rogue Warriors,Vici Gaming,0
4221,Vici Gaming,Rogue Warriors,1
4222,Suning,eStar,1
4223,eStar,Suning,1
4224,Suning,eStar,1
4225,Gentlemen's Gaming,K1ck Neosurf,0
4226,piratesports,AGO ROGUE,0
4227,Komputronik H34T,7more7,0
4228,Team Singularity,Riddle Esports,0
4229,PRIDE,Illuminar Gaming,1
4230,Godsent,Nordavind,0
4231,ENCE,BT Excel,0
4232,Tricked Esport,Munster Rugby Gaming,1
4233,Rensga eSports,Falkol,1
4234,Maryville University,Mirage Sport Électronique,1
4235,Radiance,Simplicity Esports,0
4236,Mirage Sport Électronique,Maryville University,0
4237,Simplicity Esports,Radiance,0
4238,Redemption eSports Porto Alegre,RED Canids,0
4239,Havan Liberty Gaming,Team oNe eSports,1
4240,Radiance,Simplicity Esports,1
4241,All Combo,EDG Youth Team,1
4242,All Combo,EDG Youth Team,1
4243,DRX,KT Rolster,0
4244,LGD Gaming Young Team,Top Esports Challenger,1
4245,Legend Esport Gaming,WanZhen Esports Club,0
4246,Top Esports Challenger,LGD Gaming Young Team,1
4247,WanZhen Esports Club,Legend Esport Gaming,1
4248,KT Rolster,DRX,0
4249,LGD Gaming Young Team,Top Esports Challenger,0
4250,LNG Esports,Victory Five,0
4251,Bilibili Gaming Junior,Victorious Gaming,0
4252,DRX,KT Rolster,0
4253,Victory Five,LNG Esports,1
4254,Invictus Gaming Young,V5 87,1
4255,Bilibili Gaming Junior,Victorious Gaming,0
4256,SANDBOX Gaming,Hanwha Life Esports,1
4257,Invictus Gaming Young,V5 87,1
4258,Bilibili Gaming,Invictus Gaming,1
4259,Invictus Gaming,Bilibili Gaming,1
4260,Hanwha Life Esports,SANDBOX Gaming,0
4261,Bilibili Gaming,Invictus Gaming,0
4262,piratesports,K1ck Neosurf,0
4263,AGO ROGUE,Illuminar Gaming,1
4264,Barrage Esports,Dusty,1
4265,PRIDE,7more7,0
4266,Komputronik H34T,Gentlemen's Gaming,1
4267,MnM Gaming,Fnatic Rising,0
4268,BT Excel,Godsent,1
4269,ENCE,Riddle Esports,1
4270,Jin Air Green Wings,OZ Gaming,1
4271,Shu Dai Xiong Gaming,optical spectrum E-sports,1
4272,OZ Gaming,Jin Air Green Wings,1
4273,Shu Dai Xiong Gaming,optical spectrum E-sports,0
4274,T1,SeolHaeOne Prince,1
4275,UQ Union,UTS Esports,1
4276,optical spectrum E-sports,Shu Dai Xiong Gaming,0
4277,Jin Air Green Wings,OZ Gaming,1
4278,FunPlus Phoenix Blaze,Rogue Warriors Shark,1
4279,Mammoth Academy,Pentanet.GG Rise,1
4280,FunPlus Phoenix Blaze,Rogue Warriors Shark,1
4281,Joy Dream,JingNetGame,1
4282,hyFresh Blade,ESC Shane,1
4283,SeolHaeOne Prince,T1,0
4284,JingNetGame,Joy Dream,0
4285,Gravitas Academy,QUT Tigers,0
4286,LNG Academy,Royal Club,0
4287,Vici Gaming,FunPlus Phoenix,0
4288,ESC Shane,hyFresh Blade,1
4289,DAMWON Gaming,Afreeca Freecs,1
4290,Dire Cubs,Legacy Genesis,1
4291,FunPlus Phoenix,Vici Gaming,0
4292,Royal Club,LNG Academy,1
4293,Team WE Academy,Oh My Dream,1
4294,hyFresh Blade,ESC Shane,0
4295,RMIT Redbacks,Chiefs Academy,1
4296,Vici Gaming,FunPlus Phoenix,1
4297,Oh My Dream,Team WE Academy,1
4298,Afreeca Freecs,DAMWON Gaming,0
4299,LGD Gaming,JD Gaming,0
4300,Team WE Academy,Oh My Dream,1
4301,JD Gaming,LGD Gaming,0
4302,LGD Gaming,JD Gaming,0
4303,5 Ronin Academy,Royal Youth Academy,0
4304,SuperMassive Academy,İstanbul Wildcats Academy,0
4305,Beşiktaş Academy,Dark Passage Academy,0
4306,Team AURORA Academy,1907 Fenerbahçe Academy,1
4307,Galatasaray Academy,Galakticos Academy,1
4308,Team Liquid Academy,CLG Academy,1
